player,team,position,scouting_report
Kirby Dach,Montreal Canadiens,Forward,"A developing playmaking centre with size and an enviable physical toolkit. Moves the puck up the ice with a strong skating stride and excellent hands, using his body to protect it, but has struggled to take the next step and turn those entries into scoring opportunities. Not a prolific shooter and when he does tally it’s generally because he put his big frame to use to get close to the net and either receive a quick pass or jump on a rebound off a scramble play. Sees the ice well and is a patient playmaker, confident enough to send lengthy cross-ice or stretch passes to his linemates. Possesses defensive upside due to his physical attributes but has been inconsistent in that area. Needs to get back on track following injuries."
Juraj Slafkovsky,Montreal Canadiens,Forward,"A developing power-forward. Uses his huge frame to battle for pucks, throw hits, and establish position in front of the net. Has a heavy shot that can beat goalies from distance, but just as willing to get to the ugly areas in front and muck around for rebounds and deflections. Crucially has displayed playmaking upside which if built upon would significantly raise his ceiling. For now he does set up linemates well, but his dangerous passes are typically more of the throw-the-puck-into-the-slot-and-see-what-happens than the kind of control that high-end passers show. Skates with below-average speed and is still working out how to connect the dots in transition between navigating the neutral zone and creating offence after crossing the blueline. Has a bad habit for playing with one hand on his stick when defending and trying (unsuccessfully) to get away with hooking and holding penalties while trying to backcheck hard, but he is involved and engaged physically. It remains to be seen whether he can develop into a play-driving all-around power forward or if he will ultimately be pigeon-holed as a skilled utility player."
Patrik Laine,Montreal Canadiens,Forward,"A sniping winger who can beat goalies from long-range. Whether it’s his punishing one-timer, which ranks among the hardest and most-used clappers in the league, or his equally challenging wrist shot, leaving him open from anywhere on the ice is a recipe for disaster. What separates him from the one dimensional distance shooters is an underrated and well-rounded offensive game; he has above-average speed and superb hands which allow him to navigate the neutral zone and create opportunities both for himself and his linemates off the rush. That playmaking will never be the focal point of his game but he’s not a single-minded shooter and moves the puck well, particularly in transition. All that said, the play does tend to funnel to the perimeter when he’s out there. He’s a harder worker defensively than he used to be, has a decent defensive stick, and is willing on occasion to use his body, but the way he creates offence combined with poor awareness without the puck tends to lead to poor outcomes regardless and he makes it tough for coaches to trust him."
Alex Newhook,Montreal Canadiens,Forward,"A developing offensive forward who can play centre or the wing. Pass-first, almost never shooting the puck from any area of the ice other than the slot. When he does put pucks on goal, though, they go in at an efficient clip on quick one-timers or opportunistic jumping on loose pucks. Shows some flashes of puck skills but doesn’t spend enough time with possession of it to drive play at a strong rate. Combo of foot speed and a decent stick could give him the tools to be a solid two-way player but it hasn’t yet translated."
Noah Dobson,Montreal Canadiens,Defence,"A top-pairing offensive defenceman who’s at his best when he’s active and ambitious with the puck. Likes to take shots from the point and is great at filtering them through for tips and rebounds but is much more dangerous when he jumps up in the play either by joining the rush or carrying the puck in tighter to create chances for himself or linemates. An adept puck-mover who moves his feet to create and exploit passing lanes in the offensive zone and is capable of delivering accurate stretch passes. Confident with the puck on his stick and opens up a lot of options in transition by threatening to carry it through the neutral zone, where he can even beat fellow defenders with dekes. A relatively lanky 6’4 who leaves something on the table physically and isn’t particularly strong in the net-front but isn’t afraid to race for loose pucks and battle along the wall. Exploitable off the rush where his gap is often way too aggressive or way too soft and can be caught looking a bit clueless losing track of where he’s meant to be and getting trapped behind the net. That said, he has the tools to be a competent in-zone defender, even if tilting the ice with the puck will likely remain his forté."
Lane Hutson,Montreal Canadiens,Defence,"A developing offensive defenceman who plays the game with creativity, deceptiveness, and ambition. Plays at a high pace but rarely in a straight line, using head and body fakes combined with agile feet to navigate the ice from end-board to end-board. Unafraid to get deep in the offensive zone along the boards and handle the puck, opening and scanning for passing and shooting lanes while defenders try to figure out who’s supposed to take him and keep up. Never stands still, walking the blueline with rapid cross-overs waiting for the defending winger to over-commit so he can dart towards the net and create a numerical advantage. Chases down pucks in the offensive zone to keep possession alive, stick checking and engaging on the boards. An excellent passer able to execute on the opportunities he opens up and deliver high-danger feeds across the zone like few defencemen. Solid in the defensive zone in areas where his agility and aggressiveness can manifest, like defending the blueline, angling rushers to the perimeter, and retrieving pucks, but urgency isn’t always there on in-zone sequences and his physical limitations become much more pronounced."
Mike Matheson,Montreal Canadiens,Defence,"A smooth-skating two-way defenceman capable of playing heavy and difficult minutes. Extremely visible all over the ice, his mobility and stamina lead him to cover more ground in all situations than almost any other blueliner, from pursuing forwards and chasing down pucks in the defensive zone to forcing turnovers to battling to carrying pucks with speed through the neutral zone. Not an especially creative player in the offensive zone but can walk the blueline and dish the puck from the centre lane, especially on the powerplay where he capably delivers tape to tape passes to flanking wingers. Otherwise, his offence mostly revolves his own shot, which goes in at a good rate and creates deflections and rebounds when it doesn’t. His desire to push the pace can have predictable defensive consequences, like his high-risk high-reward disruptive rush defence, his tendency to get out of position chasing down pucks, and his high turnover rate."
Kaiden Guhle,Montreal Canadiens,Defence,"A developing defence-first blueliner with excellent mobility and promise as a puck-mover. When he’s at his best, he uses his skating to proactively snuff out plays early and keep opponents away from prime real estate. Uses his size to absorb contact along the boards, battle for pucks, and throw hits. Has a solid first pass and is strong on the puck, but can be prone to turnovers when moving from defence to offence. Wants to be involved at both ends of the ice and occasionally ventures deep into the offensive zone, joining the rush. Has all the tools to be a premier shutdown defenceman who can chip in offensively."
Filip Forsberg,Nashville Predators,Forward,"A shoot-first star winger with superb hands and a high-end all-around skillset. Shoots the puck from everywhere in the zone because he can pick corners from long-range. Uses his puck-handling skills to take the puck from the perimeter to the hashmarks, with a curl and drag pucks release that gives him extra space and deceptiveness. Has the patience to make the extra move to beat a goalie instead of throwing the puck on net. Not all finesse, and can bully his way to the net-front and get to garbage goals as well. Not a particularly speedy player but doesn’t need a lot of strides to get where he wants to and has generally been a difference-maker in transition as a result. At his best, is a dedicated puck hound who kills possessions in all three zones and turns steals into offensive opportunities for him and his linemates. No slouch as a playmaker, recognizing openings in the offensive zone quickly and sending the puck to the perimeter to keep in-zone sequences alive."
Jonathan Marchessault,Nashville Predators,Forward,"A veteran scoring winger. An opportunistic scorer who gets to the net and hangs out in the slot or at the back door to tap in high-danger passes and jam in garbage goals. Not a high-volume playmaker but moves the puck with flair and confidence in tight areas. Poor footspeed limits his ability to control the game off the rush or win races to loose pucks, and combines with his lack of size to increasingly be an issue defensively, but he remains smart enough to support linemates in transition. Ryan O’Reilly"
Erik Haula,Nashville Predators,Forward,A veteran defensive centre who at his best provides a stabilizing presence including chip outs of his own zone and efficiency winning battles both along the wall and in the faceoff dot. Offers some offensive upside by crashing the net. Takes a lot of stick infractions and doesn’t handle the puck enough to draw many.
Steven Stamkos,Nashville Predators,Forward,"A veteran scoring forward with a powerful one-timer who does most of his work off the puck. Hockey I.Q. remains intact and he still moves around the ice pretty well, which allows him to get in position to power home one-timers or find holes around a goalie’s leg pads to whip in wrist shots. Relies upon linemates to do the work in transition and in the defensive zone but possesses underrated playmaking skill that keeps him from being a pure trigger-man; nonetheless, not a line driver at this point in his career."
Roman Josi,Nashville Predators,Defence,"A veteran offensive defenceman with elite skill in transition and the ability to thrive with an extremely heavy workload with the puck in all three zones. One of the most active blueliners in the league, quarterbacking his team’s offence on in-zone possessions and leading the rush as well. Poise and patience are the keys to his offensive game, as he lacks the straight-ahead speed of most of his transition-dominant peers, but his ability to not only dish the puck accurately to a streaking winger but also receive a pass from his partner in the neutral zone and establish offensive zone possession keeps opponents honest. A confident and capable loose puck retriever, but prefers to let his partner fight those battles so he can get that extra step up ice. Clever at walking the offensive blueline to sift through wrist shots but has no qualms about absolutely hammering a slap shot from the point. An elite playmaker who sees the ice extremely well and executes at a high level."
Brady Skjei,Nashville Predators,Defence,"A veteran two-way defenceman with solid physical tools including size and mobility. Covers ground quickly and protects the puck well, skills he uses to lead zone entries and retrieve pucks in the defensive zone, but of which he’s capable of executing at a high rate. Doesn’t have the prettiest skating stride but his straight-ahead speed is solid; his agility is not great, though, and when he loses track of the play in the defensive zone opponents can exploit this weakness and leave him chasing and wagging his stick around ineffectively. His reach is good but his ability to actually shut down passing lanes is inconsistent. Boasts a heavy and accurate point shot as well as decent passing ability."
Jesper Bratt,New Jersey Devils,Forward,"A star rushing winger who pushes the play and flies up the ice in transition, forcing opposing defenders to back off and taking advantage of the space to beat goalies cleanly or force them to move side-to-side with high-danger passes. While his bread and butter is undeniably the rush, where he ranks as one of the most prolific creators of offence in the game, Bratt also has a terrific one-timer and isn’t afraid to go to the net-mouth to stuff in ugly goals either, especially with the man advantage. Not a total liability defensively, but not one to engage in the dirty areas of the ice or get much involved unless the opportunity for a counter-attack presents itself."
Jack Hughes,New Jersey Devils,Forward,"An elite playmaking centre, one of the most talented players in the game. Boasts spectacular puck skills that allow him to spend more time with possession than almost anybody else in the NHL, whether he’s creatively navigating his way through the neutral zone, taking on defenders one-on-one, weaving around opponents in the offensive zone, driving the puck to the net, or feeding his linemates, everything he does with control has layers of deception and skill. Buzzes around without the puck, stealing it off opponents and putting in the work to get it back on the right side of the ice, but is unavoidably affected by his size and stature both in terms of durability, ability (and willingness) to engage physically, and capability of winning even a respectable share of his faceoffs. Has had difficulty remaining healthy."
Timo Meier,New Jersey Devils,Forward,"A skilled scoring winger with a nose for the net who produces a vast quality of shots in tight off of extended offensive zone possession, especially with the man advantage. Uses a sturdy frame and above-average speed to carry the puck in transition, protect it from opposing defenders, and get to the dangerous areas of the offensive zone. Soft hands which he uses to manipulate defencemen and make clever bang-bang passes across the slot. Can get caught deep in the zone on counter-attacks and turns the puck over at a fairly high rate, but generally is a strong possession player and a hard worker in the defensive zone."
Dawson Mercer,New Jersey Devils,Forward,"A developing scoring winger who does almost all of his damage from within a few feet of the net. Doesn’t create a large volume of scoring chances but finishes at an efficient rate. Similarly, while not blessed with exceptional playmaking ability he’ll make the odd crafty feed across the slot that would hint at a higher upside to his game. Can chip in on the forecheck, chasing down dump-ins and rebounds, but doesn’t play physically or engage too much along the boards. Has some skill in transition but turns the puck over a lot."
Stefan Noesen,New Jersey Devils,Forward,"A veteran net-front two-way winger who plays a hard-nosed game chasing and battling for pucks in the slot and along the boards. A slow and graceless skater, but isn’t expected to do much with the puck other than dump it in or out and jam at it in the crease. That said, he’s an underrated passer in tight who despite not creating a high quantity of shots with his playmaking does move it well across the slot. His simple game transfers to the powerplay as well."
Ondrej Palat,New Jersey Devils,Forward,"A veteran utility winger who despite losing pretty much all of his footspeed in the past few seasons continues to be one of the more effective complementary two-way players in the game. Whether it’s working in the defensive zone to make the smart play to chip the puck out of make a clean pass, engage along the boards or on the forecheck, chase down loose pucks in either zone, or make simple continuation plays in the offensive zone to maintain possession, what he lacks in flash and offensive dominance he makes up for in subtle effectiveness."
Dougie Hamilton,New Jersey Devils,Defence,"A top-pairing offensive defenceman with a bomb of a shot that he uses at every opportunity, whether from the point or closer to the net. Willing to leap up in the play and make himself open for high-danger one-timer passes. Helps maintain offensive zone possession by getting pucks through traffic and deeper into the zone. A solid puck-mover in transition who can dish the puck in the offensive zone, but much prefers to put it on goal whenever possible. Doesn’t use his size to throw hits or battle along the boards or in front of the net, and takes far too many frustrating infractions while drawing next to none himself. An awkward and slow skater. Not a prolific rush defender, but uses his long stick to force dump-ins and protect the middle of the ice. Despite his vastness, blocks fewer shots than any defenceman in the league."
Luke Hughes,New Jersey Devils,Defence,"A developing offensive defenceman who skates faster than any other blueliner in the league and spends plenty of time with the puck on his stick. Moves the puck well in transition, drawing penalties with his creative puck control. While he hardly ever throws a body check, he works hard when he doesn’t have the puck, battling along the boards, chasing down loose pucks, and disrupting plays with his stick. An unfortunate side effect of this is that he gets targeted by opposing checkers a lot. In the offensive zone he’s demonstrated quality and efficient playmaking and flashed serious skills with the man advantage."
Simon Nemec,New Jersey Devils,Defence,"A developing offensive defenceman who has shown early indications of an efficient game with the puck. Prefers to move the puck up the ice with possession, and while he doesn’t boast the fastest straight-line speed in the league he’s agile and deceptive. This also allows him to navigate the offensive zone and get to more dangerous areas, a strategy which made his shots among the most dangerous among blueliners as a rookie, even though he scored on few of them. His shot was a strength as a prospect, and given his ability to create quality chances this could raise his offensive ceiling. Play without the puck was more of a challenge, but despite throwing almost no checks and struggling to handle on-coming traffic off the rush he at least showed a willingness to engage physically along the boards."
Brett Pesce,New Jersey Devils,Defence,"A top four defensive defenceman who focuses on protecting the slot at 5-on-5 and the penalty kill. Plays an aggressive and effective prevent-defence style against the rush, using smart positioning and an effective stick to defend the blueline and force dump-ins and turnovers. Similarly closes off passing lanes and shuts down opponents’ attempts to penetrate the slot with high-danger feeds. Doesn’t chase hits or retrievals in his own end and makes the safe and successful chip-off-the-glass play more often than not. Conversely, is one of the league’s more prolific blueliners when it comes to entering the zone, and while he dumps it in plenty he’s not opposed to making a play himself to establish possession. After that, it’s a simple pucks on net game."
Mathew Barzal,New York Islanders,Forward,"A top line playmaking winger whose dazzling speed, hands, and creativity make him one of the most dynamic offensive players in the game. Can win a footrace against almost any player in the league and blazes through the neutral zone, deftly navigating around defenders and protecting the puck without sacrificing speed and control. Makes taking the puck from end to end, around the net, and back out into the top of the zone look almost easy. Spends a ton of time in the offensive zone with the puck on his stick, circling and protecting and scanning for a passing target. He’s generally reluctant to just get to the slot and shoot the puck himself, and the greatest defect in his game is that he too-often settles for the safety valve of a low-to-high or drop pass to a defenceman or forward hanging out on the perimeter, which often seems like a waste after the lengthy adventure he took getting the puck to that spot in the first place. He’s at his best when he plays with a shooter who gets to soft areas in the high slot or back-door, and he’s capable of making some absolutely jaw-dropping feeds if given the right target. He turns the puck over at a very low rate but you sometimes wish he was willing to take a few more risks for higher-upside plays. The defensive play is less reliable, as sometimes his stick-checking, end-to-end theatrics, and contentious possession play keep things safely out of danger and sometimes he’s a bit less attentive and not as physically-engaged as he could be."
Jonathan Drouin,New York Islanders,Forward,"A complementary playmaking winger. After struggling as a play-driver, was able to better use his crafty passing ability as more of a utility player, managing the puck more conservatively and focusing on advancing the play to his linemates instead of trying to do more himself. Uses short one-timer set-ups to change the angle and get goalies moving, and while the rushes and dazzling dekes that seemed like his bread and butter have mostly left his game the result is a more focused and productive impact."
Anthony Duclair,New York Islanders,Forward,"A middle-six scoring winger who uses high-end straight line speed to dart to open ice, receive passes, and finish. Doesn’t spend much time with the puck himself but gets to dangerous areas for one-timers and catch-and-shoot rushes. Flashes high-danger passing ability but isn’t possession-dominant enough to use it frequently. Creates a high volume of breakaways and has slick hands at top speed that lead to highlight-reel goals, but the same all-out attacking mindset leads to a dereliction of his defensive responsibilities and cancels out much of his contributions."
Simon Holmstrom,New York Islanders,Forward,A middle-six scoring two-way winger
Bo Horvat,New York Islanders,Forward,
Anders Lee,New York Islanders,Forward,
Jean-Gabriel Pageau,New York Islanders,Forward,
Tony DeAngelo,New York Islanders,Defence,
Alex Romanov,New York Islanders,Defence,
Adam Pelech,New York Islanders,Defence,
Will Cuylle,New York Rangers,Forward,"A developing physical winger with offensive upside. Throws crushing body-checks, sometimes crossing the line into questionable territory, and willing to answer the bell. Boasts above-average speed which allows him to get breakaways and win races to pucks at both ends of the ice. A solid net-front presence with great hand-eye coordination for deflections. Takes a lot of shots from outside the slot because he’s got a rangy wrist shot that can beat goalies from the hashmarks and beyond. Not much of a passer at this point and doesn’t spend much time with the puck."
Alexis Lafreniere,New York Rangers,Forward,"A developing offensive winger with a nose for the net and a high hockey I.Q. that allows him to cleverly time his routes to the dangerous areas of the ice and get clear looks. Drafted as a playmaker, and increasingly comfortable making quick passes through the slot with limited time and space as well as handling the puck in transition. Often enters the offensive zone with possession of the puck and makes a saucer pass to a streaking linemate. Has terrific hands and is gaining the confidence to take advantage of them. A non-factor defensively with some physical upside."
J.T. Miller,New York Rangers,Forward,"A first-line centre who plays a fast, physical, playmaking style. Reads the play at an elite level, knowing where he wants to pass the puck before he receives it and keeping it on his blade for as little time as possible before advancing it to a better spot. His trademark play is a one-touch pass, and while that can occasionally lead to him over-use the points instead of getting pucks to the slot, that swift puck movement makes shots from the outside more dangerous. Uses his solid, stocky frame along the boards to assert position and get pucks off the wall cleanly. A rare power-forward/playmaker hybrid who plays with an ultra-competitive edge which when combined with his speed can lead to heavy clean hits and on occasion less legal physical plays as well."
Artemi Panarin,New York Rangers,Forward,"An elite playmaking winger with nearly unmatched patience and creativity with the puck on his stick in the offensive zone. Equally dangerous creating offence in transition and off sustained possessions, where he manipulates defenders and changes the tempo to open up passing lanes and find targets across the slot. This extends to his shot, as while his release is superb in its own right he increases its effectiveness by preceding it with subtle and deceptive moves and aiming for unexpected spots on the net; as a result, he scores a lot from distance with wrist shots, often through traffic. The more of a dual threat he is, the more space he has to work with, which snowballs into gaudy production. A prolific transition player despite a lack of straight-ahead footspeed and turns the puck over at a low rate relative to how much time he spends with it. One of the least physical players in hockey, staying out of the fray and letting others chase down and fight for pucks. Defensive impact amounts to opportunistically flipping from defence to offence."
Vincent Trocheck,New York Rangers,Forward,"A playmaking centre with a well-rounded game. Capable of operating as a shooter, a playmaker, or both, and that versatility makes him an easy fit with talented linemates. Above-average skating helps him drive play off the rush, where he has a knack for weaving his way into the offensive zone before targeting a linemate with plenty of space to get a quality shot off. But his willingness to go to dangerous areas of the ice (both along the boards and in front of the net) make him a valuable asset on extended cycling sequences as well; it helps that he not only makes himself available for passes to the slot but is also one of the league’s better point shot deflectors. A better finishing touch would certainly help, but his volume keeps his production solid. Elsewhere he plays a gritty and capable defensive game focused on forcing the issue by pressuring the puck."
Mika Zibanejad,New York Rangers,Forward,"A playmaking top line centre who distributes the puck efficiently and with plenty of flair. Despite not creating nearly as much volume offensively at 5-on-5 as one would expect given his production, his passes are deceptive and often quite elegant, including sneaky backhand feeds to streaking recipients at the top of the circle, passes from behind the net, or short-range looks that change the angle just enough to get past the goalie. His trademark hyper-efficient finishing ability from distance has become more inconsistent of late, and while he’s still a devotee to the one-timer most of his even strength scoring has come off of bang-bang plays closer to the net lately rather than snipes. He works hard in his own end to regain the puck and has an excellent defensive stick which has made him a trusted penalty killer."
Adam Fox,New York Rangers,Defence,"A superstar two-way defenceman who plays the game with sparkling intelligence at both ends of the ice. Despite lacking size, speed, and physicality, controls the game with and without the puck. One of the best puck-moving defencemen in the NHL, making passes out of his own end of an extremely high calibre and with unmatched precision. No defencemen makes fewer mistakes or turnovers relative to the amount of plays he makes with the puck; whether it’s retrievals, simple break-out plays, or stretch passes setting up streaking wingers for odd-man rushes, he’s totally dependable. Dominant with the puck in the offensive zone where he joins the rush, jumps up in the play off the cycle to scramble defences and make cross-slot passes, and sends pucks from the right point to tee up open one-timers in the left-circle or the left point. The only thing missing from his offensive game is a heavy point shot; he has little interest in taking low-percentage one-timers and what pucks he does put on net from distance are mostly designed for deflections and rebounds. But he is still a high-efficiency scorer because he’s got an accurate wrist shot and is willing to get to more dangerous areas of the ice. He’ll never be a checker or stocky net-front defender, but a strong defensive stick and positioning more than compensate and make him a complete two-way player."
Vladislav Gavrikov,New York Rangers,Defence,
Braden Schneider,New York Rangers,Defence,"A developing two-way defenceman with a mix of physicality and mobility. Still putting the pieces together but has shown a willingness to do the legwork in the defensive zone to get to loose pucks and turn them into counter-attacks and has a strong first pass, which is already improving. One of the league’s most prolific shot-blockers, which points to a bigger role on the penalty kill in the future."
Michael Amadio,Ottawa Senators,Forward,"A hard-working and understatedly skilled utility winger who chases and battles for loose pucks while contributing some puck-moving and net-crashing. Can move up and down the lineup, playing a straightforward chip-and-chase role to kill time on a checking line or filling in the blanks and retrieving pucks for more skilled middle-six linemates."
Drake Batherson,Ottawa Senators,Forward,"A top six playmaking winger who’s especially adept at setting up linemates with cross-crease feeds and knocking in centre-lane onetimers on the powerplay. A solid all-around offensive player who flashes the skill of an even better one. His hands around the net are special and he has the patience to get the goalie down and out before putting the puck past him. A one-time threat but similarly will take the extra second to make sure he picks the right spot. He can make the safe pass to support linemates in transition but will occasionally make a dazzling play to the slot. His physical tools have improved through his career as well, especially his skating, although his defensive impact is limited."
Dylan Cozens,Ottawa Senators,Forward,"A developing scoring centre who has struggled with consistency as he works to become a high-end top six pivot. Willing to use his size to battle for pucks along the wall and strip opponents, but despite an increasing defensive role is still working on preventing scoring chances when he’s on the ice. When he’s on, he’s a premier puck carrier in transition with superb hands who puts the puck in the net both off of grimy plays in the slot and by beating goalies clean off the rush with a wrist shot. When he’s not, he struggles to create quality chances at an above-average rate."
Claude Giroux,Ottawa Senators,Forward,"A veteran playmaking winger who provides a stabilizing and complementary presence. Recovers loose pucks and finds linemates in dangerous areas. A keen passer in transition who makes the short, simple plays to advance the puck up-ice and creates lots of two-on-one and three-on-two opportunities. Not a volume shooter but gets to the right spots on the ice and has a nice finishing touch on those rush chances. Generally provides the defensive conscience that allows his linemates to make riskier plays and doesn’t expose his team to the downsides that can sometimes come from playing such a rush-based game."
Ridly Greig,Ottawa Senators,Forward,A developing utility winger who works hard and plays with a physical edge that helps him push play in the right direction. Still developing as an offensive contributor but has a bit of skill with the puck and a willingness to crash the net and take punishment. Not a blazingly fast skater and crosses the line of legality extremely frequently.
David Perron,Ottawa Senators,Forward,"A veteran third line winger who has significantly simplified his game in his mid-30s. One of the slowest skaters in the game and no longer spends a lot of time with the puck, focusing instead on providing a physical presence and battling for loose pucks along the wall and in front of the net. Will still on occasion show flashes of playmaking skill and scoring touch, especially when more space is available on the man advantage. Does enough subtle work with and without the puck to remain a positive contributor but by no means a driver at this point in his career. Tim Stützle An extremely skilled developing playmaking centre with quick feet and superb ability with the puck. Spends lots of time with the puck on his stick and navigates through the neutral zone challenging opponents and using his hands and agility to beat defenders one-on-one. The question through his young career has been translating this obvious ability into scoring opportunities and production, and while this isn’t a finished product he has shown undeniable flashes of both. He can see and execute highlight reel passes that most players wouldn’t dream of, and scores gorgeous goals using his hands to weave his way towards the net or to initiate give-and-go plays that leave him with a tap-in. More consistency and volume would allow him to reach his sky-high ceiling. While he’s a great puck thief and unafraid to finish checks, he can tend to stay a bit above the fray and get stuck in his own end defensively. Notoriously one of the best penalty drawers in the league; whether that’s due to his skill with the puck or more nefarious methods is in the eye of the beholder."
Brady Tkachuk,Ottawa Senators,Forward,"A top-line scoring winger who creates shot volume from all over the ice like almost nobody else in the game. While it’s easy to pigeonhole him as a net-front grinder, and he certainly is one of the most prolific creators of opportunities tight to the net off of rebounds, deflections, scramble plays, and whatever else he can get his hands on, he’s just as dangerous off the rush where his no-nonsense walk in and wire it approach leads to piles of shots and plenty of goals as well. Offers proof that you don’t need great foot speed or elite puck skills to be a problem in transition. Has developed a positive passing game as well, with finesse feeds on odd-man rushes and shovel-it-to-the-slot-where-I-know-there-are-guys prayers on extended possessions. Always eager to head to the corners to recover loose pucks, in no small part because it gives him the opportunity to finish his checks. That aggressiveness leads him to spend lots of time in the penalty box, for dropping the gloves, roughing, interference, etc., but while he’s one of the most penalized players in the league he does nonetheless draw more than he takes. Nobody would accuse him of lazy play anywhere on the ice, but his defensive impact is generally poor as he gets caught deep in the zone, trades rush chances, and turns the puck over by making uncontrolled plays."
Fabian Zetterlund,Ottawa Senators,Forward,A scoring winger who likes to shoot the puck from the perimeter despite scoring almost all of his goals close to the net. Uses above-average speed to create odd-man rushes and breakaways and frequently gets open for one-timers in the outer slot and near the circles. Reasonably strong in transition and protects the puck well. Willing to play with some physicality and has a solid build to battle for pucks but otherwise a limited defender.
Thomas Chabot,Ottawa Senators,Defence,"A top pairing offensive defenceman with good wheels and hands who jumps up in the play off the rush and within the offensive zone. After years playing enormous minutes and carrying a massive burden with the puck has had some discomfort adjusting and is particularly struggling to create as many opportunities for his linemates as before, but the skill is still present when he carries the puck in from the point and locates an open target along the slot. More the type to jump up and receive a break-out pass from his partner than fire one himself. Has never been a great defender but has improved in that area, with an effective stick and less carelessness with the puck."
Nick Jensen,Ottawa Senators,Defence,"A veteran defensive defenceman who at his best provides stability, mobility, and puck-moving in a top four role. Not a particularly physical player and absorbs a lot of pain as he is one of the most frequently-hit players in the game. While that can’t be pleasant, it may at least be some comfort that he rarely takes penalties while drawing them quite often. Uses his skating to retrieve pucks in the defensive zone and is capable of exiting the zone either by transporting the puck himself or facilitating his partner doing the same. Protects the middle of the ice defending the rush instead of playing a tight gap to snuff out entries. Has the puck skills to be a contributor in the offensive zone but is also willing to step back and play the safety blanket role instead."
Jake Sanderson,Ottawa Senators,Defence,"A #1 two-way defender whose mobility, defensive stick, and puck-moving ability have made him a steady play-driving presence at even strength. An excellent skater whose speed and acceleration is almost unmatched across the league, helping him win races to loose pucks and get back on defence when necessary. Shoulders a heavy defensive zone workload and holds up extremely well, disrupting plays off the rush and blocking passes with an active stick and turning retrievals into clean zone exits like few others in the league. Not physical in the least, although he’s not afraid to engage for the puck. Equally comfortable carrying the puck through the neutral zone or sending stretch passes up the ice, and keeps his heads up to spring odd-man rushes. The next step will be for him to become more of a difference-maker in the offensive zone; while his contribution tilting the ice is obvious, more production will follow when he becomes a more assertive chance creator, and we’ve seen flashes of what that looks like when he says screw it and takes the puck to the net himself."
Artem Zub,Ottawa Senators,Defence,"A top-four defensive defenceman and penalty killer. Plays a simple and efficient game focused on limiting the time and space of opposing forwards, especially on the rush where his defensive stick forces opponents to dump the puck into the corners where his linemate can retrieve it. Despite slow skating, rarely gets caught up-ice or surrenders an odd-man rush opportunity. When forced to, can make a solid first pass and rarely turns the puck over even relative to how little he has the puck, but is much happier letting his linemate worry about that."
Sean Couturier,Philadelphia Flyers,Forward,
Travis Konecny,Philadelphia Flyers,Forward,"A first line playmaking winger who excels at creating offence off the rush. Creates tons of chances in transition, using his acceleration to get behind the defence and whip accurate curl-and-drag wrist shots past goalies. Deadly short-handed as a result. Exceptional hands allow him to take unconventional routes through the neutral and offensive zone and leave defenders in the dust. A high-skill passer whose uses a masterful understanding of the rush game to manipulate defenders and timing to open up and exploit passing lanes across the slot. Teases defenders before floating saucer passes over their sticks or slipping pucks through the triangle. Won’t hesitate to blow the zone early if he smells an opportunity, with the attendant defensive consequences that come from playing such an aggressive run-and-gun game. Has the motor and stick to theoretically contribute defensively in the right role but that would likely blunt his offensive value."
Tyson Foerster,Philadelphia Flyers,Forward,
Matvei Michkov,Philadelphia Flyers,Forward,
Owen Tippett,Philadelphia Flyers,Forward,
Trevor Zegras,Philadelphia Flyers,Forward,"A creative playmaking forward who can play wing or centre (albeit with miserable faceoff efficiency) whose best attributes are finding open linemates in the slot and taking on opposing defenders one-on-one. An efficient finisher due to a knack for making himself open for cross-seam passes as well, but doesn’t shoot the puck enough to put up big goal totals. Quite turnover-prone, unsurprising given how high-leverage his game is. Foot speed and physicality both grade out well below-average."
Jamie Drysdale,Philadelphia Flyers,Defence,
Travis Sanheim,Philadelphia Flyers,Defence,"A big-minute offensive defenceman blessed with the combination of size and mobility coaches dream of. Between his elite straight-line speed and long reach, covers an enormous amount of ground and moves around the ice more than almost any other blueliner, especially impressive given his heavy minutes burden. Has taken the number one role as a green light to do absolutely everything. Jumps up in the offensive zone at every conceivable opportunity whether to pounce on a rebound, rush into the corner, grab a puck on the half-wall to feed across the crease, step into a high slot one-timer, take the puck around the net, or even screen the goalie. Defensively, he’s an aggressive disruptor with an active stick that he uses to kill plays at the line, block passing lanes, and win battles. Give him runway to lead the rush and he will take it without hesitation (his transition passing is less strong than his puck-carrying and he does still have some chip-off-the-glass habits). If he could play every position himself, he would. These adventures, perhaps unsurprisingly, can leave his linemates covering for him on counter-attack chances or stuck on an island in the zone when he’s gone for a home run play, and his high turnover rate doesn’t help."
Rasmus Ristolainen,Philadelphia Flyers,Defence,
