,Player,Position,Height,Weight,Draft Year,2024-2025 Leagues,2024-2025 Team,NHL Rights,2025 NHL Equivalency,Star Probability,NHLer Probability
2471,Jack Sadowski,F,"6'0""",179,1,"ushl, bchl",Cedar Rapids RoughRiders,-,2.32,0.22%,0.54%
530,Jack Mckenna,F,"5'8""",159,0,naphl-18u,Janesville Jr. Jets 18U AA,-,6.35,0.22%,0.71%
2473,Jake Schneider,F,"5'11""",198,4,ncaa,Colgate Univ.,-,6.62,0.22%,0.35%
2474,Niklas Nilsson,D,"6'3""",179,4,shl,Örebro HK,-,0.0,0.22%,0.32%
2475,Maddox Mason,D,"6'3""",185,1,"ajhl, mjhl",Waywayseecappo Wolverines,-,1.99,0.22%,0.5%
2476,Matteo Wagner,F,"5'11""",190,2,"allsvenskan, superelit",AIK J20,-,5.46,0.22%,0.39%
2477,Aleksi Sinkkonen,F,"6'1""",194,5,"liiga, mestis",Ketterä,-,13.64,0.22%,1.41%
531,Graham Greeder,D,"6'0""",190,0,ushs-mn,Hill-Murray School,-,3.27,0.22%,0.93%
2479,Arvid Broman,D,"6'6""",227,1,j20-elit,Nacka HK J20,-,0.36,0.22%,1.04%
2480,Eerik Wallenius,F,"6'4""",220,1,"liiga, u20 sm-liiga",HPK U20,Ottawa Senators,3.41,0.22%,1.21%
2481,Charles Arend,F,"6'0""",185,1,ushl,Dubuque Fighting Saints,-,4.91,0.22%,0.56%
2482,Fisher Scott,D,"6'2""",179,2,ncaa,Colorado College,Detroit Red Wings,4.67,0.22%,0.93%
532,Jabez Seymour,F,"6'3""",201,0,qmjhl,totals,-,2.09,0.22%,1.48%
2484,Bronson Ride,D,"6'7""",212,2,ohl,North Bay Battalion,-,2.26,0.22%,2.72%
2485,Ilya Ivanov,F,"5'11""",165,1,"belarus, belarus-vysshaya",Belstal Zhlobin,-,5.2,0.22%,0.36%
533,James Stenberg,F,"6'0""",220,0,"j18 allsvenskan, j18-elit",Södertälje SK J18,-,1.1,0.22%,0.69%
2487,Zion Green,F,"5'11""",181,3,nahl,Maine Nordiques,-,7.11,0.22%,0.24%
2488,Jack Harney,D,"6'9""",225,1,nahl,Danbury Jr. Hat Tricks,-,1.08,0.22%,1.38%
2489,Adam Boltvan,F,"6'0""",185,3,"czech-u20, czech",HC Kometa Brno U20,-,10.23,0.22%,0.95%
2490,Adam Osmera,D,"6'2""",192,1,czech-u20,HC Oceláři Třinec U20,-,2.45,0.22%,0.62%
2491,Patrik Jernfalk,D,"6'2""",187,1,"superelit, division-2, j20-elit",Nacka HK J20,-,2.31,0.22%,0.42%
2492,Eelis Granholm,D,"5'11""",176,1,u20 sm-liiga,Kiekko-Espoo U20,-,2.49,0.22%,0.29%
2493,Liam Spencer,D,"6'4""",214,1,ohl,London Knights,-,0.68,0.22%,0.51%
2494,Alexei Rykmanov,F,"5'11""",174,3,"khl, vhl",Chelmet Chelyabinsk,-,8.53,0.22%,0.52%
2495,Yan Kuznetsov,D,"6'5""",220,5,ahl,Calgary Wranglers,Calgary Flames,9.31,0.22%,8.36%
2496,Leo Bergstrom,F,"6'2""",198,2,nahl,Lone Star Brahmas,-,4.5,0.22%,0.5%
2497,Sam Frandina,D,"5'8""",165,3,bchl,Coquitlam Express,-,4.3,0.22%,0.14%
2498,Viktor Andreichenko,F,"6'2""",187,3,mhl,SKA-1946 St. Petersburg,-,5.88,0.22%,1.72%
2499,Corbin Vaughan,D,"6'1""",198,1,whl,totals,-,1.78,0.22%,0.33%
534,Hugo Daniel,F,"6'2""",194,0,"ushl, nahl",Omaha Lancers,-,1.87,0.22%,1.19%
2501,Bogdan Popovsky,D,"5'11""",172,1,mhl,Dinamo-Shinnik Bobruysk,-,3.55,0.22%,0.37%
2502,Andro Kaderli,F,"6'0""",187,2,"wjc-20, superelit, shl",Leksands IF J20,-,5.33,0.22%,0.64%
2503,Rasmus Leijonhielm,F,"6'2""",198,3,division-1,Mörrums GoIS,-,5.68,0.22%,0.4%
535,Ilya Kobets,F,"6'0""",190,0,mhl,Khors-Kareliya Kondopoga,-,2.94,0.22%,0.79%
2505,Niklas Saarelma,D,"6'2""",179,1,"u18 sm-sarja, u20 sm-liiga",Pelicans U18,-,2.57,0.22%,0.31%
2506,Max Ranstrom,D,"5'11""",192,2,nahl,Corpus Christi IceRays,-,5.3,0.22%,0.64%
2507,Andreas Radberg,D,"5'10""",170,5,division-1,totals,-,6.11,0.22%,0.08%
2508,Malcolm Green,F,"6'6""",220,2,bchl,Victoria Grizzlies,-,3.16,0.22%,1.46%
2509,Ryden Evers,F,"6'4""",192,2,bchl,Penticton Vees,-,7.3,0.22%,2.63%
2510,Marat Pavlov,F,"5'11""",176,1,mhl,Ladia Togliatti,-,5.65,0.22%,0.85%
536,Robin Benoit,F,"6'0""",176,0,"qmjhl, bchl",Sherbrooke Phoenix,-,3.55,0.22%,0.88%
537,Jacob De Ladurantaye,D,"6'0""",181,0,qmjhl,Gatineau Olympiques,-,1.77,0.22%,0.79%
2513,Isa Parekh,D,"6'0""",163,3,ncaa,Bemidji State Univ.,-,8.17,0.22%,0.2%
2514,Andrej Kovacevic,F,"6'1""",205,3,bchl,Coquitlam Express,-,3.61,0.22%,0.63%
2515,Terrell Goldsmith,D,"6'4""",218,2,whl,Tri-City Americans,Arizona Coyotes,3.31,0.22%,2.65%
2516,Jeremy Hanzel,D,"6'1""",196,4,echl,Atlanta Gladiators,Colorado Avalanche,4.34,0.22%,1.79%
2517,Danil Shipin,F,"5'8""",134,2,nmhl,Fakel-Yamal Salekhard,-,14.87,0.22%,0.26%
2518,Tyler Boucher,F,"6'2""",216,4,ahl,Belleville Senators,Ottawa Senators,6.79,0.22%,1.33%
2519,Sid Mcneill,D,"5'7""",146,3,bchl,Langley Rivermen,-,3.53,0.22%,0.03%
538,Carter Kostuch,F,"5'11""",165,0,ohl,Sarnia Sting,-,4.73,0.22%,0.74%
2521,Felix Wassberg,F,"6'0""",183,1,"allsvenskan, superelit",Almtuna IS J20,-,5.21,0.22%,0.81%
2522,Dominik Drapak,F,"6'0""",207,1,slovakia-u20,HKM Zvolen U20,-,2.97,0.22%,0.56%
2523,Ruslan Aglamzyanov,F,"5'11""",154,3,vhl,Chelmet Chelyabinsk,-,14.76,0.22%,0.52%
539,Arseni Shlyukov,F,"6'0""",179,0,mhl,totals,-,4.23,0.22%,0.75%
540,Lukas Kaplan,F,"5'8""",157,0,whl,Everett Silvertips,-,4.16,0.22%,0.47%
2526,Mateo Mrsic,F,"5'11""",172,3,bchl,Chilliwack Chiefs,-,8.68,0.22%,0.5%
2527,Matej Kozlik,F,"6'0""",187,3,"czech-u20, czech2",HC Frydek-Mistek,-,6.03,0.22%,0.6%
541,Ilkham Khalilov,D,"6'0""",172,0,nmhl,MHK Kaluga,-,2.48,0.22%,0.55%
2529,Nicholas Holomego,D,"6'5""",203,1,ohl,Erie Otters,-,1.76,0.22%,0.85%
542,Jakob Gornebrand,D,"5'10""",183,0,"j18 allsvenskan, j18-elit, j20-elit",Huddinge IK J20,-,2.37,0.22%,0.83%
2531,Carver Alford,D,"6'3""",201,2,usphl-premier,Lake Tahoe Lakers,-,4.81,0.22%,1.42%
2532,Heath Nelson,F,"6'1""",181,1,ushl,Cedar Rapids RoughRiders,-,5.96,0.22%,0.9%
2533,Johannes Frisk,D,"6'0""",176,2,superelit,Mora IK J20,-,4.56,0.22%,0.53%
2534,Daniel Chen,D,"6'5""",196,1,ohl,Brantford Bulldogs,-,1.72,0.22%,0.79%
543,Riley Graffi,D,"6'4""",165,0,cahs,Lo Ellen Park Secondary School,-,2.56,0.22%,0.4%
2536,Michael Emerson,F,"6'1""",192,3,ncaa,Merrimack College,Carolina Hurricanes,5.96,0.22%,1.17%
544,Lauri Kouhia,F,"6'0""",190,0,u20 sm-liiga,Jokerit U20,-,2.98,0.22%,0.75%
2538,Nikita Konevych,D,"6'3""",183,1,nahl,Corpus Christi IceRays,-,2.48,0.22%,0.48%
2539,Danil Sherstobitov,F,"5'11""",172,4,vhl,Izhstal Izhevsk,-,9.39,0.22%,0.85%
2540,Yelisei Karpov,F,"6'3""",176,3,"vhl, mhl",totals,-,8.33,0.22%,1.47%
2541,Ryan Chesley,D,"6'0""",194,3,ncaa,Univ. of Minnesota,Washington Capitals,7.94,0.22%,3.22%
2542,Zander Veccia,F,"5'10""",185,3,ojhl,Collingwood Blues,-,4.41,0.22%,0.56%
2543,Makar Opolinsky,F,"5'8""",157,1,mhl,Chaika Nizhny Novgorod,-,8.4,0.22%,0.39%
2544,Valentin Grossetete,F,"6'0""",181,3,france,Grenoble,-,4.73,0.22%,0.37%
2545,Leon Matthiasson,D,"6'1""",187,3,division-1,IK Pantern,-,6.61,0.22%,0.84%
2546,Luke Goukler,F,"5'10""",174,1,ushl,Chicago Steel,-,5.19,0.22%,0.56%
2547,Miro Heikkila,D,"5'10""",165,4,u20 sm-liiga,HIFK U20,-,2.34,0.22%,0.02%
2548,Joseph Odyniec,F,"6'2""",201,2,bchl,Coquitlam Express,-,5.29,0.22%,0.51%
2549,Nikita Shalimov,F,"5'10""",183,2,nmhl,Dynamo-576 St. Petersburg,-,5.34,0.22%,0.26%
2550,Samuel Barcik,D,"6'2""",192,2,"slovakia, wjc-20",HK Spisska Nova Ves,-,4.84,0.22%,0.48%
2551,Cohen Daoust,F,"6'1""",192,1,ajhl,Canmore Eagles,-,4.45,0.22%,1.02%
2552,Akos Molnar,D,"6'3""",196,2,romania,Gyergyói HK,-,4.07,0.22%,0.96%
2553,Ethan Whitcomb,F,"6'4""",209,3,ncaa,Univ. of Connecticut,-,4.48,0.22%,4.7%
2554,Kade Fendelet,F,"6'1""",205,1,ajhl,Lloydminster Bobcats,-,4.06,0.22%,0.48%
545,Jonatan Lansivuori,D,"6'2""",174,0,u18 sm-sarja,SaiPa U18,-,2.29,0.22%,0.57%
2556,Rayan Bettahar,D,"6'2""",201,3,"del, del2",Fischtown Pinguins,-,5.84,0.22%,0.81%
2557,Artyom Ivanov,F,"6'0""",192,4,vhl,totals,-,6.26,0.22%,1.29%
2558,Fredrik Dahne,D,"5'9""",165,5,division-2,Guldsmedshytte SK,-,4.22,0.22%,0.02%
546,Yegor Kulizhnikov,F,"6'0""",176,0,russia-u18,Kristall Berdsk U18,-,4.52,0.22%,0.88%
2560,Cayne Leive,F,"6'1""",201,1,ushs-prep,North Yarmouth Academy,-,1.86,0.22%,0.54%
2561,Kalle Kangas,D,"6'4""",207,2,"wjc-20, liiga",HPK,Pittsburgh Penguins,4.23,0.22%,1.46%
2562,Alexei Kuznetsov,D,"6'3""",214,2,mhl,MHK Dynamo Moskva,-,1.43,0.22%,0.89%
547,Konstantin Gaizer,F,"6'0""",168,0,russia-u18,Smena Seversk U18,-,5.11,0.22%,1.21%
2564,Grigori Morozov,D,"6'2""",183,4,vhl,Izhstal Izhevsk,-,0.0,0.22%,0.56%
2565,Maxim Gordiyuk,F,"6'2""",214,2,mhl,Taifun Primorsky Krai,-,2.09,0.22%,0.37%
548,Nikolai Zalunin,D,"6'3""",185,0,russia-u18,Amur Khabarovsk U18,-,1.43,0.22%,0.8%
2567,Tomas Silar,F,"5'9""",168,3,"czech-u20, czech2",HC Oceláři Třinec U20,-,5.88,0.22%,0.3%
549,Shaan Kingwell,F,"5'11""",168,0,"ohl, cchl",Navan Grads,-,5.57,0.22%,0.72%
2569,Drew Gibbons,F,"5'10""",181,2,nahl,totals,-,4.46,0.22%,0.35%
550,Samuel Murin,F,"6'0""",190,0,"wjc-18, slovakia, slovakia2, slovakia-u20",totals,-,3.3,0.22%,0.86%
2571,Felix Plamondon,D,"6'2""",170,1,qmjhl,Shawinigan Cataractes,-,3.03,0.22%,0.24%
2572,Nikita Kholodilin,F,"6'2""",207,5,"khl, vhl",Avangard Omsk,-,12.59,0.22%,2.77%
2573,Eliot L'Italien,F,"6'1""",196,1,qmjhl,Blainville-Boisbriand Armada,-,3.99,0.22%,0.72%
2574,Alex Guy,F,"6'3""",194,1,qmjhl,totals,-,2.23,0.22%,0.59%
2575,Chase Bradley,F,"5'11""",181,5,ahl,Colorado Eagles,Detroit Red Wings,11.33,0.22%,0.62%
2576,Ben Macdonald,F,"6'1""",185,3,ncaa,Harvard Univ.,Seattle Kraken,9.41,0.22%,0.84%
2577,Hunter Toms,D,"6'4""",198,1,nahl,Odessa Jackalopes,-,2.12,0.22%,0.59%
2578,Nicholas Larkin,D,"6'1""",190,2,ajhl,Camrose Kodiaks,-,2.56,0.22%,0.29%
2579,Aj Reed,F,"6'2""",209,3,nahl,El Paso Rhinos,-,4.46,0.22%,0.6%
2580,Matej Zidek,F,"6'2""",207,1,czech-u20,HC Vítkovice U20,-,3.71,0.22%,0.91%
2581,Adam Lang,D,"6'0""",183,2,bchl,totals,-,3.29,0.22%,0.46%
2582,Nicholas Wellenreiter,F,"5'11""",176,1,"ohl, bchl",North Bay Battalion,-,6.42,0.22%,0.5%
2583,Nate Tivey,D,"6'5""",205,3,qmjhl,Saint John Sea Dogs,-,5.86,0.22%,2.09%
551,Brenden Espenell,D,"6'2""",185,0,bchl,Alberni Valley Bulldogs,-,1.48,0.22%,0.85%
552,Malte Vass,D,"6'2""",194,0,"superelit, shl",Färjestad BK J20,-,1.83,0.22%,1.09%
2586,Karim Sadykov,D,"6'6""",194,1,mhl,MHK Molot Perm,-,1.74,0.22%,0.42%
2587,Pontus Bergstrom,D,"6'8""",209,1,"division-2, j20-div.1",Avesta BK,-,0.6,0.22%,0.8%
553,Aron Dahlqvist,D,"6'4""",205,0,"superelit, shl",Brynäs IF J20,-,1.7,0.22%,1.22%
2589,Lauri Sinivuori,F,"6'1""",179,1,ohl,Oshawa Generals,-,5.99,0.22%,0.99%
2590,Alain Graf,F,"6'2""",201,2,"wjc-20, nla, nlb",SC Bern,-,4.82,0.22%,0.6%
2591,Hank Cleaves,F,"6'4""",201,3,ncaa,Dartmouth College,-,10.43,0.22%,1.77%
554,Fyodor Kuzmin,F,"6'0""",159,0,mhl,Khors-Kareliya Kondopoga,-,5.23,0.22%,1.15%
2593,Hayden Hennen,D,"6'3""",181,5,ncaa,Augustana Univ.,-,7.01,0.22%,1.01%
2594,Brady Schultz,D,"5'11""",194,3,qmjhl,Halifax Mooseheads,-,4.94,0.22%,1.95%
2595,Chase Cheslock,D,"6'3""",205,2,ncaa,Univ. of St. Thomas,New Jersey Devils,5.85,0.22%,2.28%
2596,Vsevolod Almetkin,D,"6'2""",196,4,vhl,totals,-,4.94,0.22%,0.99%
2597,Nikita Mylnikov,F,"6'0""",179,2,mhl,totals,-,7.52,0.22%,1.04%
555,Loke Krantz,F,"6'2""",192,0,"superelit, j18-elit",Linköping HC J20,-,2.87,0.22%,1.02%
2599,Topi Heiskanen,D,"5'11""",185,5,mestis,Hokki,-,6.05,0.22%,0.3%
556,Aapo Katavisto,F,"6'0""",174,0,"wjc-18, u20 sm-liiga",Kiekko-Espoo U20,-,3.94,0.22%,0.96%
2601,Erik Burwall,D,"6'1""",176,3,division-1,Tyringe SoSS,-,3.17,0.22%,0.22%
2602,Zach Sandhu,D,"6'2""",194,1,ohl,Oshawa Generals,-,4.43,0.22%,1.03%
2603,Teemu Immonen,F,"6'6""",209,1,u20 sm-liiga,JYP U20,-,3.56,0.22%,1.34%
557,Kyle Mcdonough,F,"5'10""",165,0,whl,Portland Winterhawks,-,5.7,0.21%,0.64%
558,Grant Spada,D,"6'5""",185,0,ohl,Guelph Storm,-,1.22,0.21%,0.64%
2606,Benjamin Vigneault,D,"6'0""",181,3,qmjhl,Québec Remparts,-,6.62,0.21%,0.44%
559,Rasmus Becker,F,"6'1""",185,0,"superelit, j18-elit",IF Björklöven J20,-,3.9,0.21%,1.19%
2608,Colton Smith,F,"6'3""",209,3,ojhl,Leamington Flyers,-,4.86,0.21%,1.55%
2609,Matthew Gleason,F,"5'8""",174,5,ncaa,Univ. of St. Thomas,-,9.99,0.21%,0.12%
2610,Caden Kelly,F,"5'11""",196,1,ohl,Ottawa 67's,-,3.09,0.21%,0.33%
2611,Nathan Mcbrayer,D,"6'0""",194,3,ncaa,Ohio State Univ.,-,3.97,0.21%,1.6%
2612,Aleksey Chichkin,D,"6'4""",218,2,whl,totals,-,2.12,0.21%,1.72%
2613,Nikolai Makarov,D,"6'1""",194,4,"khl, vhl",Zvezda Moskva,Columbus Blue Jackets,6.21,0.21%,0.95%
2614,Elis Rix,F,"6'3""",207,2,superelit,Västerås IK J20,-,2.87,0.21%,0.67%
560,Nikita Mikhailov,F,"6'3""",187,0,mhl,Krasnaya Armiya Moskva,-,2.61,0.21%,1.29%
561,Parker Deschene,F,"5'8""",168,0,ushs-mn,Rogers High,-,5.23,0.21%,0.42%
2617,Fabian Licko,D,"6'3""",196,1,"slovakia2, slovakia-u20",HC TEBS Bratislava,-,2.36,0.21%,0.55%
562,Colton Alain,D,"6'4""",196,0,whl,Vancouver Giants,-,1.27,0.21%,1.0%
2619,David Moravec,D,"6'0""",190,3,czech,HC Energie Karlovy Vary,-,9.15,0.21%,1.44%
2620,Filip Ekstrom,D,"5'10""",154,2,superelit,IF Björklöven J20,-,5.3,0.21%,0.1%
2621,Braiden Clark,F,"5'11""",190,2,ncaa,Providence College,-,2.98,0.21%,0.43%
2622,Leo Isaksson,F,"6'0""",170,2,superelit,Växjö Lakers HC J20,-,7.32,0.21%,0.88%
2623,Onni Puikkonen,F,"5'11""",181,2,usphl-premier,Tampa Bay Juniors,-,6.39,0.21%,0.37%
2624,Eric Nordmark,F,"6'4""",174,2,superelit,HV71 J20,-,9.93,0.21%,2.44%
2625,Artyom Udot,F,"6'0""",176,5,vhl,Chelmet Chelyabinsk,-,13.04,0.21%,0.89%
2626,Alex Itkin,D,"6'3""",192,1,mhl,Kapitan Stupino,-,1.02,0.21%,0.4%
2627,Andrei Salnikov,D,"6'2""",165,1,vhl,Rubin Tyumen,-,3.23,0.21%,0.45%
2628,Noah Grolnic,F,"5'10""",185,2,"nahl, bchl",totals,-,4.17,0.21%,0.22%
2629,Matyas Borak,F,"5'10""",187,3,czech-u20,HC Plzeň U20,-,5.81,0.21%,0.23%
2630,Daniil Pshenitsyn,D,"6'4""",198,1,vhl,CSK VVS Samara,-,0.0,0.21%,0.24%
2631,Chris Brown,F,"5'11""",181,1,ohl,Soo Greyhounds,-,3.26,0.21%,0.37%
2632,Brandon Chabrier,D,"6'0""",185,5,ncaa,Univ. of Maine,-,4.29,0.21%,0.35%
563,Neo Haggblad,F,"6'0""",220,0,j18-elit,Östersunds IK J18,-,1.21,0.21%,0.62%
2634,Niklas Hubner,D,"6'3""",192,3,"del, del2",Ravensburg Towerstars,-,2.97,0.21%,0.28%
2635,Linus Carlsson,D,"5'9""",154,2,superelit,Timrå IK J20,-,3.62,0.21%,0.09%
2636,Daniil Lazarev,D,"5'11""",165,1,mhl,totals,-,4.41,0.21%,0.3%
2637,Sever Bilgili,D,"6'0""",163,5,"division-1, mestis",Borås HC,-,2.09,0.21%,0.02%
2638,Yegor Paskin,D,"6'1""",165,1,mhl,Tolpar Ufa,-,1.86,0.21%,0.23%
2639,Danila Sharapov,F,"5'8""",168,2,mhl,MHK Dynamo St. Petersburg,-,4.07,0.21%,0.18%
2640,Frantisek Dej,F,"6'5""",209,2,"slovakia, wjc-20, whl",Saskatoon Blades,-,2.05,0.21%,0.83%
2641,Alex Velmatov,D,"5'11""",159,5,vhl,Izhstal Izhevsk,-,3.85,0.21%,0.01%
2642,Mathieu Paris,F,"6'0""",181,2,ohl,Niagara IceDogs,-,7.48,0.21%,0.59%
2643,Anthony Pare,D,"6'2""",190,1,qmjhl,Rimouski Océanic,-,3.56,0.21%,1.33%
2644,Ilya Klinovsky,F,"5'9""",148,2,mhl,totals,-,8.69,0.21%,0.43%
2645,Miles Gunty,F,"5'10""",190,3,ncaa,Princeton Univ.,-,5.48,0.21%,0.28%
2646,Matthew Maltais,F,"6'2""",183,3,ushl,Lincoln Stars,-,7.76,0.21%,1.19%
2647,Jaden Johnson,F,"5'9""",179,2,nahl,New Hampshire Mountain Kings,-,5.3,0.21%,0.22%
2648,Alex Fredriksson,D,"5'11""",176,3,"division-1, allsvenskan",totals,-,3.97,0.21%,0.29%
564,Yaroslav Ovchinnikov,F,"5'9""",165,0,mhl,totals,-,5.88,0.21%,0.5%
2650,Charles-Alexis Legault,D,"6'3""",207,4,ahl,Chicago Wolves,Carolina Hurricanes,7.1,0.21%,6.88%
565,Teague Vader,D,"6'0""",185,0,gojhl,Listowel Cyclones,-,1.98,0.21%,0.68%
2652,Seth Murch,D,"6'0""",185,3,nahl,Shreveport Mudbugs,-,4.82,0.21%,0.3%
2653,Noah Houle,D,"6'1""",192,3,ncaa,Lindenwood Univ.,-,7.94,0.21%,0.53%
2654,Kristian Kostadinski,D,"6'6""",220,2,ushl,Dubuque Fighting Saints,Boston Bruins,3.03,0.21%,3.99%
566,Olivier Lampron,F,"6'2""",176,0,qmjhl,Sherbrooke Phoenix,-,5.18,0.21%,1.27%
2656,Gleb Chesnokov,F,"5'10""",187,3,"vhl, mhl",Torpedo-Gorky NN,-,8.93,0.21%,0.7%
2657,Matthew Cataldo,F,"5'11""",194,2,bchl,Penticton Vees,-,3.77,0.21%,0.36%
2658,Lukas Nikolaj Pettersen-Finckenhagen,F,"6'4""",192,1,superelit,Mora IK J20,-,6.18,0.21%,1.74%
567,Renaud Poulin,F,"5'11""",181,0,qmjhl,Drummondville Voltigeurs,-,5.09,0.21%,0.59%
568,William Tomko,F,"6'0""",190,0,ushl,Chicago Steel,-,4.35,0.21%,0.62%
2661,William Samuelsson,F,"6'0""",183,1,ushl,Green Bay Gamblers,Dallas Stars,4.16,0.21%,0.4%
2662,Zakhar Malashkevich,F,"6'1""",207,4,belarus,Neman Grodno,-,6.76,0.21%,0.36%
2663,Eero Butella,F,"6'5""",194,1,ushl,Fargo Force,-,7.28,0.21%,2.29%
2664,Bryce Sookro,D,"6'1""",223,3,bchl,Cranbrook Bucks,-,6.94,0.21%,1.77%
2665,River Freeman,F,"6'0""",185,1,"nahl, ushs-mn",Minnesota Wilderness,-,4.22,0.21%,0.83%
2666,Veeti Hietaniemi,D,"6'2""",176,4,u20 sm-liiga,Ilves U20,-,2.65,0.21%,0.14%
2667,Lukas Kral,F,"5'11""",172,1,qmjhl,Gatineau Olympiques,-,5.38,0.21%,0.46%
2668,Joey Sylvester,D,"5'8""",176,2,nahl,totals,-,3.64,0.21%,0.14%
2669,Brock Cummings,F,"6'2""",194,2,bchl,Prince George Spruce Kings,-,5.91,0.21%,0.81%
2670,Kamden Kaiser,F,"6'1""",190,1,nahl,totals,-,0.48,0.21%,0.42%
569,Rio Treharne,F,"6'0""",185,0,"nahl, ushs-mn",Eden Prairie High,-,3.78,0.21%,0.7%
570,Elliot Bast Wiklund,D,"6'3""",209,0,"j18 allsvenskan, superelit, j18-elit",IF Björklöven J18,-,1.69,0.21%,1.21%
2673,Kyle Kukkonen,F,"5'10""",174,4,ncaa,Univ. of Wisconsin,Anaheim Ducks,8.16,0.21%,0.39%
2674,Georgi Pron,F,"6'0""",183,2,mhl,Amurskie Tigry Khabarovsk,-,6.14,0.21%,0.39%
571,Kj Eccleston,F,"6'4""",192,0,cchl,Brockville Braves,-,3.08,0.21%,1.84%
2676,Nicholas Anisimovicz,F,"5'11""",198,1,whl,Tri-City Americans,-,2.69,0.21%,0.53%
572,Jasper Fellbaum,F,"6'0""",216,0,vijhl,Oceanside Generals,-,1.0,0.21%,0.66%
2678,Ludwig Sundstrom,F,"6'4""",209,2,"division-1, division-2, j20-elit",Falu IF,-,2.12,0.21%,0.79%
2679,David Back Nilsson,D,"6'1""",183,2,superelit,Leksands IF J20,-,3.48,0.21%,0.44%
2680,Igor Nechayev,F,"6'1""",154,1,mhl,Stalnye Lisy Magnitogorsk,-,10.08,0.21%,1.33%
2681,Mikhail Bolshakov,D,"6'1""",190,5,vhl,Gornyak-UGMK,-,7.15,0.21%,0.27%
2682,Axel Kumlin,D,"6'1""",196,5,ncaa,Univ. of Notre Dame,-,8.78,0.21%,0.82%
573,James Eggleston,F,"6'2""",240,0,usphl-premier,Decatur Blaze,-,0.0,0.21%,0.65%
2684,Milan Pisoja,D,"6'3""",185,2,slovakia,totals,-,1.42,0.21%,0.36%
2685,Juho Hallikas,D,"5'8""",165,4,mestis,Ketterä,-,3.12,0.21%,0.07%
2686,Samuel Smajda,F,"6'0""",196,3,"czech-u20, czech2",HC Energie Karlovy Vary U20,-,4.36,0.21%,0.32%
2687,Johnny Conlin,F,"5'9""",181,1,ushl,totals,-,2.13,0.21%,0.15%
2688,Andrei Boluchevsky,F,"6'3""",225,4,vhl,HK Chelny,-,5.48,0.21%,1.27%
2689,Helmer Styf,F,"5'11""",176,3,"division-1, allsvenskan",Västerviks IK,-,6.48,0.21%,1.02%
2690,Sergei Odinokov,F,"5'10""",172,5,belarus,Khimik Novopolotsk,-,9.93,0.21%,0.33%
2691,Bogdan Stepanchuk,F,"6'0""",190,1,czech-u20,HC Sparta Praha U20,-,4.14,0.21%,0.46%
2692,Michael Levin,F,"5'8""",157,1,ohl,Niagara IceDogs,-,6.48,0.21%,0.24%
2693,Peter Repcik,F,"6'0""",192,3,slovakia,HC Kosice,-,7.5,0.21%,0.86%
574,Matts Tarlton,D,"6'2""",205,0,ushs-mn,Woodbury High,-,1.83,0.21%,1.36%
2695,Hugo Pettersson,F,"5'10""",201,5,division-1,Huddinge IK,-,10.0,0.21%,0.56%
2696,Alex Pelletier,F,"5'11""",185,2,ushl,Lincoln Stars,-,7.24,0.21%,0.5%
2697,Ty Thornton,D,"6'3""",179,3,sjhl,Melfort Mustangs,-,3.71,0.21%,0.18%
2698,Filip Lundgren,D,"6'1""",179,1,superelit,Timrå IK J20,-,1.36,0.21%,0.22%
575,Teddy Richardson,F,"6'1""",190,0,nahl,Wisconsin Windigo,-,4.18,0.21%,0.74%
2700,Bogdan Nesterenko,F,"6'0""",176,2,mhl,Loko Yaroslavl,-,4.52,0.21%,0.55%
2701,Zack Sharp,D,"6'2""",181,2,ncaa,Western Michigan Univ.,-,3.4,0.21%,1.1%
2702,Valter Nystrom Dubbel,D,"6'0""",176,1,superelit,Skellefteå AIK J20,-,3.58,0.21%,0.46%
2703,Andrew Leblanc,F,"6'0""",183,3,ohl,North Bay Battalion,-,5.91,0.21%,0.8%
576,Brandon Mickelson,D,"5'10""",168,0,ushs-mn,Moorhead High,-,2.81,0.21%,0.53%
2705,Marlon Schmid,D,"6'2""",170,4,swissdiv1,EHC Wiki-Münsingen,-,1.77,0.21%,0.05%
577,Jake Merens,F,"5'10""",174,0,ushl,totals,-,4.4,0.21%,0.44%
2707,Ryan Michael,D,"6'2""",196,2,whl,Kamloops Blazers,-,3.6,0.21%,1.29%
2708,Hugo Branthsson,F,"6'0""",181,2,nahl,Rochester Jr. Americans,-,6.38,0.21%,0.51%
2709,Pavel Kovalchuk,D,"5'10""",179,4,vhl,Yuzhny Ural Orsk,-,4.6,0.21%,0.21%
2710,Maxim Pashchenko,D,"6'2""",165,2,mhl,Mamonty Yugry,-,2.94,0.21%,0.14%
2711,Ibrahim Qufaj,D,"5'9""",176,4,division-1,Falu IF,-,3.87,0.21%,0.09%
2712,Jacob Delaney,F,"6'2""",218,2,ushl,Sioux City Musketeers,-,3.29,0.21%,0.42%
2713,Andrew Wycisk,D,"5'11""",170,2,ohl,Niagara IceDogs,-,3.11,0.21%,0.33%
2714,Hunter Ramos,F,"5'9""",161,2,ushl,totals,-,7.63,0.21%,0.31%
578,Lane Olson,F,"6'0""",172,0,ushs-mn,Princeton High (MN),-,4.99,0.21%,0.73%
2716,Naaman Hofer,D,"6'1""",170,3,mjhl,Dauphin Kings,-,3.64,0.21%,0.11%
